,NumberofOrders,YearlyIncome,SalesAmt,Age,NumberItems,city2,gender2,gender,city,Clusterlabel
0,1,50000.0,1184.46,47,4,209,1,M,Royal Oak,0
1,2,60000.0,1538.5582,55,5,97,1,M,Edmonds,0
2,2,70000.0,133.96,73,5,202,1,M,Redwood City,0
3,1,80000.0,35.96,43,3,34,1,M,Brisbane,3
4,1,110000.0,94.48,54,2,14,1,M,Beverly Hills,3
5,1,40000.0,132.97,45,3,115,1,M,Grossmont,1
6,1,70000.0,2433.04,48,4,88,1,M,Daly City,0
7,2,70000.0,4912.47,53,10,174,1,M,Newton,0
8,1,40000.0,69.99,41,1,130,1,M,Kirkland,1
9,1,40000.0,94.48,42,2,35,1,M,Burbank,1
10,1,60000.0,2492.32,39,4,226,1,M,Sedro Woolley,0
11,2,80000.0,3112.97,60,3,110,1,M,Glendale,3
12,1,40000.0,54.98,80,2,245,0,F,Townsville,1
13,3,70000.0,5193.7196,41,6,245,0,F,Townsville,0
14,1,40000.0,21.98,64,1,234,0,F,Springwood,1
15,2,20000.0,3110.0525,60,3,172,0,F,Newcastle upon Tyne,1
16,1,30000.0,1155.48,42,2,213,0,F,Saint Germain en Laye,1
17,2,40000.0,5898.26,45,2,78,0,F,Colma,1
18,2,80000.0,3188.28,61,7,149,0,F,Long Beach,3
19,1,70000.0,30.48,53,2,267,0,F,Yakima,0
20,1,120000.0,166.28,76,3,244,0,F,Torrance,2
21,1,30000.0,77.92,62,4,132,0,F,Lake Oswego,1
22,1,20000.0,588.96,40,4,215,0,F,Saint-Denis,1
23,1,60000.0,1151.76,38,4,177,0,F,Novato,0
24,1,60000.0,39.98,39,2,178,0,F,Oak Bay,0
25,1,60000.0,1120.49,52,1,226,0,F,Sedro Woolley,0
26,2,70000.0,5993.26,69,3,265,0,F,Woodland Hills,0
27,1,20000.0,2.29,57,1,259,0,F,West Covina,1
28,1,30000.0,3399.99,73,1,252,0,F,W. Linn,1
29,2,60000.0,4334.6,64,4,209,0,F,Royal Oak,0
30,2,80000.0,4795.01,58,6,136,0,F,Langford,3
31,2,60000.0,3030.0325,49,4,133,1,M,Lakewood,0
32,1,60000.0,548.98,53,2,168,1,M,N. Vancouver,0
33,3,60000.0,8215.99,57,9,196,1,M,Port Macquarie,0
34,1,90000.0,48.97,39,3,157,1,M,Melton,3
35,1,130000.0,2398.05,56,3,142,1,M,Lemon Grove,2
36,2,30000.0,2793.5025,41,6,257,1,M,Watford,1
37,2,30000.0,2731.5425,43,3,8,1,M,Bellingham,1
38,1,20000.0,597.95,42,5,249,1,M,Versailles,1
39,1,30000.0,128.97,68,3,247,1,M,Vancouver,1
40,1,60000.0,1179.47,51,3,131,1,M,La Jolla,0
41,1,60000.0,29.99,77,1,14,1,M,Beverly Hills,0
42,1,40000.0,1223.84,58,2,124,1,M,Imperial Beach,1
43,2,60000.0,1503.5782,39,3,149,1,M,Long Beach,0
44,1,20000.0,68.97,81,3,170,0,F,Neunkirchen,1
45,1,80000.0,6.28,65,2,54,0,F,Cergy,3
46,1,100000.0,38.98,62,2,100,0,F,Erlangen,3
47,2,60000.0,4828.11,49,3,247,1,M,Vancouver,0
48,2,60000.0,5985.21,70,6,163,1,M,Milwaukie,0
49,1,60000.0,1784.96,70,4,182,1,M,Oregon City,0
50,1,80000.0,78.98,68,2,223,1,M,Santa Monica,3
51,3,50000.0,148.19,40,10,158,1,M,Metchosin,0
52,1,50000.0,152.6,71,2,33,1,M,Bremerton,0
53,1,60000.0,2049.0982,49,1,233,1,M,Spring Valley,0
54,2,60000.0,5973.24,59,5,198,1,M,Portland,0
55,1,90000.0,39.98,57,2,201,1,M,Redmond,3
56,1,90000.0,29.99,57,1,216,1,M,Salem,3
57,2,30000.0,2701.4275,43,2,219,1,M,San Diego,1
58,1,30000.0,548.98,44,2,60,1,M,Chatou,1
59,2,40000.0,1503.5782,57,3,131,1,M,La Jolla,1
60,1,80000.0,157.27,61,4,146,1,M,Lincoln Acres,3
61,1,80000.0,39.98,41,2,157,0,F,Melton,3
62,3,100000.0,8180.0,45,7,263,0,F,Wollongong,3
63,1,100000.0,4.99,71,1,13,0,F,Berlin,3
64,1,30000.0,583.97,50,3,190,1,M,Paris,1
65,3,70000.0,6802.1282,44,6,205,1,M,Rockhampton,0
66,3,10000.0,6825.4496,39,6,148,1,M,London,1
67,1,20000.0,777.34,51,2,184,1,M,Orly,1
68,1,40000.0,1700.99,48,1,266,1,M,Woolston,1
